player_name,team_tag,season_uvi,ppp,total_pitches,games
Luis Gil,NYY,101.0,-0.017218880412371136,970,11
Logan Gilbert,SEA,98.2,-0.015120926252319112,2156,25
Tyler Gilbert,CWS,172.3,-0.00038125205158264994,853,46
Lucas Gilbreath,COL,126.3,-0.014730555555555556,18,1
Logan Gillaspie,SD,50.9,-0.026742035714285715,112,3
Connor Gillispie,MIA,36.9,-0.029570182203389833,472,6
Kevin Ginkel,AZ,61.2,-0.02503050916496945,491,29
J.T. Ginn,ATH,66.9,-0.023524735443037976,1580,23
Lucas Giolito,BOS,150.3,-0.008240043001686343,2372,26
Sawyer Gipson-Long,DET,-4.4,-0.03892333693304536,463,8
Tyler Glasnow,LAD,141.1,-0.008115026280323451,1484,18
Austin Gomber,COL,-41.1,-0.0455448038038038,999,12
Tony Gonsolin,LAD,29.4,-0.03175411986863711,609,7
Wikelman González,CWS,211.3,0.008140241847826088,368,16
Colton Gordon,HOU,39.8,-0.029634553118574363,1459,20
Tanner Gordon,COL,24.3,-0.03351333012048193,1245,15
MacKenzie Gore,WSH,111.7,-0.01409219723306137,2819,30
Gordon Graceffo,STL,114.2,-0.013798396825396825,756,26
Andre Granillo,STL,184.7,0.0011302742382271462,361,14
Kendall Graveman,AZ,74.2,-0.022270250000000002,324,19
Jon Gray,TEX,-82.2,-0.05470289047619047,210,6
Sonny Gray,STL,108.9,-0.01493183370044053,2724,32
Chad Green,TOR,63.4,-0.024546268802228415,718,45
Hunter Greene,CIN,139.3,-0.010156604118993138,1748,19
Sean Guenther,DET,159.8,-0.0038060193548387113,155,9
Luis Guerrero,BOS,142.1,-0.009869252595155711,289,13
Ryan Gusto,HOU,83.5,-0.020465203653585926,1478,24
Ryan Gusto,MIA,-16.4,-0.041704665492957746,284,3
Yoendrys Gómez,CWS,103.5,-0.01538774135876043,839,12
Yoendrys Gómez,LAD,54.4,-0.02646505376344086,93,3
Yoendrys Gómez,NYY,165.5,-0.0039575581395348836,172,6
Josh Hader,HOU,144.0,-0.0077857309048178615,851,48
Justin Hagenman,NYM,142.7,-0.0071469634464751955,383,9
Jesse Hahn,SEA,173.5,0.002377055555555555,90,3
DL Hall,MIL,191.4,0.0017485483870967723,589,20
Seth Halvorsen,COL,125.0,-0.014969635937499998,640,42
Dom Hamel,NYM,-34.6,-0.045446153846153844,13,1
Ian Hamilton,NYY,113.7,-0.014617627725856699,642,36
Garrett Hampson,STL,787.9,0.12883333333333333,3,1
Emerson Hancock,SEA,45.1,-0.027485587491215744,1423,22
Brenan Hanifee,DET,102.4,-0.016080630366492148,955,54
Thomas Harrington,PIT,5.2,-0.036802925,200,3
Hayden Harris,ATL,159.8,-0.004487,50,3
Hogan Harris,ATH,158.6,-0.0037102024539877303,1141,48
Kyle Harrison,BOS,175.3,-0.0032944450000000026,200,3
Kyle Harrison,SF,76.2,-0.020995196428571433,392,8
Kyle Hart,SD,81.0,-0.020122528901734105,692,20
Geoff Hartlieb,DET,99.2,-0.016768181818181817,44,2
Geoff Hartlieb,NYY,9.4,-0.03605230769230769,65,2
Hunter Harvey,KC,303.5,0.027577317365269464,167,12
Thomas Hatch,KC,-73.2,-0.05379736842105263,19,1
Thomas Hatch,MIN,136.2,-0.009135973776223778,572,11
Brent Headrick,NYY,170.4,-0.002957,370,17
Andrew Heaney,LAD,-353.2,-0.11274601886792454,53,1
Andrew Heaney,PIT,41.5,-0.028637114173228347,2032,26
Austin Hedges,CLE,87.7,-0.019231250000000002,56,3
Tyler Heineman,TOR,-110.8,-0.061443965517241385,58,3
Ryan Helsley,NYM,-126.0,-0.06519640364583333,384,22
Ryan Helsley,STL,99.0,-0.017010970491803275,610,36
Logan Henderson,MIL,208.1,0.005220021951219512,410,5
Kyle Hendricks,LAA,60.1,-0.024852869918699186,2583,31
Liam Hendriks,BOS,92.2,-0.019738064655172412,232,14
Edgardo Henriquez,LAD,27.4,-0.03218575714285715,280,22
Ronny Henriquez,MIA,108.4,-0.013292273350471293,1167,69
Cole Henry,WSH,158.6,-0.004071527347781218,969,57
Tommy Henry,AZ,133.0,-0.009829906542056075,107,2
Jimmy Herget,COL,192.9,-0.002458820512820513,1287,59
Kevin Herget,ATL,152.2,-0.0060765624999999995,32,1
Kevin Herget,NYM,193.0,0.0037228260869565212,184,6
Nick Hernandez,HOU,138.1,-0.009023303167420815,221,10
Carlos Hernández,CLE,218.2,0.008677010309278348,97,5
Carlos Hernández,DET,147.8,-0.006373276785714287,224,11
Carlos Hernández,PHI,160.2,-0.005671425000000002,440,25
Daysbel Hernández,ATL,95.5,-0.017958540802213,723,39
Enrique Hernández,LAD,49.3,-0.027535200000000003,125,5
Jose Herrera,AZ,136.2,-0.009144444444444443,27,2
Tim Herrin,CLE,126.4,-0.010952137566137566,756,54
Codi Heuer,DET,14.3,-0.034916567164179096,67,2
Codi Heuer,TEX,158.7,-0.0056774999999999985,20,1
Jordan Hicks,BOS,44.1,-0.029247907161803716,377,21
Jordan Hicks,SF,91.3,-0.01762389588377724,826,13
Jaden Hill,COL,164.9,-0.007613554192229039,489,28
Rich Hill,KC,-47.0,-0.04812476608187135,171,2
Tim Hill,NYY,85.5,-0.020403446271929825,912,70
Yaramil Hiraldo,BAL,103.1,-0.014996444444444442,315,18
Sean Hjelle,SF,30.8,-0.031108694980694983,259,12
Porter Hodge,CHC,25.0,-0.03283322349102774,613,35
Bryan Hoeing,SD,168.2,-0.0008862595419847325,131,7
